# Number of nodes
15

# UID Hostname Port
1 127.0.0.1 8011
2 127.0.0.1 8012
3 127.0.0.1 8013
4 127.0.0.1 8014
5 127.0.0.1 8015
6 127.0.0.1 8016
7 127.0.0.1 8017
8 127.0.0.1 8018
9 127.0.0.1 8019
10 127.0.0.1 8020
11 127.0.0.1 8021
12 127.0.0.1 8022
13 127.0.0.1 8023
14 127.0.0.1 8024
15 127.0.0.1 8025

# List of edges and their weight, one per line. An edge is denoted
# by (smaller uid, larger uid)
(1,2) 4
(1,3) 2
(2,6) 3
(2,7) 3
(3,4) 2
(3,5) 3
(6,8) 4
(7,8) 7
(7,9) 5
(4,9) 5
(4,10) 5
(5,10) 8
(8,13) 2
(8,11) 5
(8,9) 3
(9,11) 5
(9,12) 5
(9,10) 1
(10,12) 7
(10,14) 5
(11,13) 3
(13,15) 3
(11,15) 5
(11,12) 5
(12,15) 9
(12,14) 5
(14,15) 1
